tweets,category,dates,address,newaddress,lattitude,longitude,coordinates
"THEFT - COLD at 2600 SE LINCOLN ST, PORT [Portland Police #PP21000359949] 12:41 #pdx911, 2021-12-27 21:06:02+00:00",THEFT - COLD , 2021-12-27 21:06:02+00:00, 2600 SE LINCOLN ST," 2600 SE LINCOLN ST, Portland, OR",45.507661,-122.639375,"-122.639375, 45.507661"
"DISTURBANCE - PRIORITY at 900 NE 122ND AVE, PORT [Portland Police #PP21000359973] 12:40 #pdx911, 2021-12-27 20:57:02+00:00",DISTURBANCE - PRIORITY , 2021-12-27 20:57:02+00:00, 900 NE 122ND AVE," 900 NE 122ND AVE, Portland, OR",45.52900930647324,-122.53759433289005,"-122.53759433289005, 45.52900930647324"
"THEFT - COLD at 7400 N INTERSTATE AVE, PORT [Portland Police #PP21000359941] 12:04 #pdx911, 2021-12-27 20:55:01+00:00",THEFT - COLD , 2021-12-27 20:55:01+00:00, 7400 N INTERSTATE AVE," 7400 N INTERSTATE AVE, Portland, OR",45.576478087248326,-122.68197297315437,"-122.68197297315437, 45.576478087248326"
"VEHICLE STOLEN - COLD at 17400 SE DIVISION ST, PORT [Portland Police #PP21000359906] 11:45 #pdx911, 2021-12-27 20:47:01+00:00",VEHICLE STOLEN - COLD , 2021-12-27 20:47:01+00:00, 17400 SE DIVISION ST," 17400 SE DIVISION ST, Portland, OR",45.504495,-122.484485,"-122.484485, 45.504495"
"VEHICLE STOLEN - COLD at 300 NE 122ND AVE, PORT [Portland Police #PP21000359943] 12:14 #pdx911, 2021-12-27 20:41:01+00:00",VEHICLE STOLEN - COLD , 2021-12-27 20:41:01+00:00, 300 NE 122ND AVE," 300 NE 122ND AVE, Portland, OR",45.52517052261307,-122.53762850753769,"-122.53762850753769, 45.52517052261307"
"ASSAULT - COLD at 11300 SW 60TH AVE, PORT [Portland Police #PP21000359828] 10:02 #pdx911, 2021-12-27 20:37:02+00:00",ASSAULT - COLD , 2021-12-27 20:37:02+00:00, 11300 SW 60TH AVE," 11300 SW 60TH AVE, Portland, OR",45.443385,-122.738431,"-122.738431, 45.443385"
"THEFT - COLD at 16000 NE SANDY BLVD, PORT [Portland Police #PP21000359836] 11:30 #pdx911, 2021-12-27 20:35:01+00:00",THEFT - COLD , 2021-12-27 20:35:01+00:00, 16000 NE SANDY BLVD," 16000 NE SANDY BLVD, Portland, OR",45.54983357849009,-122.49814483426013,"-122.49814483426013, 45.54983357849009"
"THEFT - COLD at 2600 NE MARTIN LUTHER KING JR BLVD, PORT [Portland Police #PP21000360080] 19:30 #pdx911, 2021-12-28 03:43:02+00:00",THEFT - COLD , 2021-12-28 03:43:02+00:00, 2600 NE MARTIN LUTHER KING JR BLVD," 2600 NE MARTIN LUTHER KING JR BLVD, Portland, OR",45.541381,-122.661484,"-122.661484, 45.541381"
"VEHICLE STOLEN - COLD at 1100 SW RIVINGTON DR, PORT [Portland Police #PP21000360240] 18:37 #pdx911, 2021-12-28 03:41:02+00:00",VEHICLE STOLEN - COLD , 2021-12-28 03:41:02+00:00, 1100 SW RIVINGTON DR," 1100 SW RIVINGTON DR, Portland, OR",45.508603,-122.6911,"-122.6911, 45.508603"
"VEHICLE STOLEN - COLD at 11900 SE SCHILLER ST, PORT [Portland Police #PP21000360251] 19:15 #pdx911, 2021-12-28 03:39:02+00:00",VEHICLE STOLEN - COLD , 2021-12-28 03:39:02+00:00, 11900 SE SCHILLER ST," 11900 SE SCHILLER ST, Portland, OR",45.487451,-122.540364,"-122.540364, 45.487451"
"THEFT - COLD at 1600 NE 116TH PL, PORT [Portland Police #PP21000360129] 19:30 #pdx911, 2021-12-28 03:39:02+00:00",THEFT - COLD , 2021-12-28 03:39:02+00:00, 1600 NE 116TH PL," 1600 NE 116TH PL, Portland, OR",45.53433298214286,-122.54317821428572,"-122.54317821428572, 45.53433298214286"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 11000 NE WYGANT ST, PORT [Portland Police #PP21000360243] 18:33 #pdx911, 2021-12-28 03:37:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-28 03:37:02+00:00, 11000 NE WYGANT ST," 11000 NE WYGANT ST, Portland, OR",45.55710779032258,-122.54932998387098,"-122.54932998387098, 45.55710779032258"
"THEFT - PRIORITY at 2600 NE MARTIN LUTHER KING JR BLVD, PORT [Portland Police #PP21000360158] 16:52 #pdx911, 2021-12-28 03:35:02+00:00",THEFT - PRIORITY , 2021-12-28 03:35:02+00:00, 2600 NE MARTIN LUTHER KING JR BLVD," 2600 NE MARTIN LUTHER KING JR BLVD, Portland, OR",45.541381,-122.661484,"-122.661484, 45.541381"
"THEFT - COLD at 3800 SE HAWTHORNE BLVD, PORT [Portland Police #PP21000359970] 19:29 #pdx911, 2021-12-28 03:35:02+00:00",THEFT - COLD , 2021-12-28 03:35:02+00:00, 3800 SE HAWTHORNE BLVD," 3800 SE HAWTHORNE BLVD, Portland, OR",45.511964,-122.62417212121211,"-122.62417212121211, 45.511964"
